,Hotel_name,name,rating,review,label,review_tokens
10,Hotel Gran Mahakam,Heru Pratomo,5.0,such a great place to staycation i would love to stay again later thx for services breakfast also has a great tasterooms service location more,Positif,great place staycation would love stay later thx services breakfast also great tasterooms service location
11,Hotel Gran Mahakam,T Susatyo,5.0,amazing stars hotel in south jakarta attentive and helpful staff luxurious design super clean room and comfortable bed food was great rooms service location more,Positif,amazing stars hotel south jakarta attentive helpful staff luxurious design super clean room comfortable bed food great rooms service location
12,Hotel Gran Mahakam,Adink,4.0,old hotel maintained well great location tasty breakfastrooms service location more,Positif,old hotel maintained well great location tasty breakfastrooms service location
13,Hotel Gran Mahakam,Anita Harriyanti,5.0,nice place comfort and classy lil bit narrow but the interrior is good,Positif,nice place comfort classy lil bit narrow interrior good
14,Hotel Gran Mahakam,Emma Ewaldsson,5.0,after our hour long flight from seattle to jakarta day quarantine at the hotel was amazing all the pain was paid off great foods friendly staff,Positif,hour long flight seattle jakarta day quarantine hotel amazing pain paid great foods friendly staff
15,Hotel Gran Mahakam,Mida Hardo,5.0,i stayed at gran mahakam for repatriation we stayed for days night as per the current govenrment regulation we felt grateful to get the rooms here the hotel staff we met at the airport was friendly and helpful he helped us to find the local sim card so that we can still continue connected with social media while waiting our pcr result the check in was flawless and very helpfull as we reached there around am only the access to the hotel was a bit confusing at the start due to the regulation the main street was blocked however it got resolved after i called the hotel the reception gave very clear direction to the driver the car was very comfortable they had alphard to pick us up we had a nice sekoteng ginger sweet drink sent to the room to warm us up we rested well and very much pampered by the sophisticated menu selections regular kids menu vegetarian or glutten free menus we mostly ordered indonesian food during our stay i also worked from quarantine the wifi connection is okay few glitches but still acceptable i can ask the hotel to help for printing some important documents everytime we need extra items ie adaptor yoga mat water bottle the staffs will provide it immediately let me share the pictures that will give you ideas why we enjoyed our stay there thanks for everyone there,Positif,stayed gran mahakam repatriation stayed days night current govenrment regulation felt grateful get rooms hotel staff met airport friendly helpful helped us find local sim card still continue connected social media waiting pcr result check flawless helpfull reached around access hotel bit confusing start due regulation main street blocked however got resolved called hotel reception gave clear direction driver car comfortable alphard pick us nice sekoteng ginger sweet drink sent room warm us rested well much pampered sophisticated menu selections regular kids menu vegetarian glutten free nus mostly ordered indonesian food stay also worked quarantine wifi connection okay glitches still acceptable ask hotel help printing important documents everytime need extra items ie adaptor yoga mat water bottle staffs provide immediately let share pictures give ideas enjoyed stay thanks everyone
16,Hotel Gran Mahakam,NATALIA MARGARET THATCHER,4.0,here for a wedding party good wedding gathering space but the parking area is small,Positif,wedding party good wedding gathering space parking area small
17,Hotel Gran Mahakam,Annisa Diana,5.0,one of the most comfortable hotel in south jakarta i love the ambience the cleanliness and how the staff treat us really well i got the room at th floor with citylight view at night the location at blok m is really strategic so we can go everywhere by foot easily maybe due to pandemic they serve basic menu for breakfast so there are not so much variant menu served,Positif,one comfortable hotel south jakarta love ambience cleanliness staff treat us really well got room th floor citylight view night location blok really strategic go everywhere foot easily maybe due pandemic serve basic menu breakfast much variant menu served
18,Hotel Gran Mahakam,davy Sukamta,5.0,the grande old dame this very beautiful hotel located right in the hearth of blok m kebayoran baru designed in art noveau style this boutique hotel provides decent size rooms a pool and several restaurants service is first rate the buffet lunch and dinner is great the bar is cozy and they provides parking space in the basement,Positif,grande old dame beautiful hotel located right hearth blok kebayoran designed art noveau style boutique hotel provides decent size rooms pool several restaurants service first rate buffet lunch dinner great bar cozy provides parking space basement
19,Hotel Gran Mahakam,Achmad Rafiq Kamaluddin,5.0,amazing hotel when we want to see a hotel like in europe we can go to grand mahakamrooms service location more,Positif,amazing hotel want see hotel like europe go grand mahakamrooms service location
20,Hotel Gran Mahakam,Jane Koh,5.0,nice boutique hotel with lots of eateries and street food nearby,Positif,nice boutique hotel lots eateries street food nearby
21,Hotel Gran Mahakam,Ayu Andika,5.0,excellent hotel with good ambience great food love itrooms service location more,Positif,excellent hotel good ambience great food love itrooms service location
22,Hotel Gran Mahakam,Ilham Nugraha,5.0,i enjoy staying at this hotel all food is delicious i could eat more and more because it is so tasty other than that i think it is good for one ot two day stay,Positif,enjoy staying hotel food delicious could eat tasty think good one ot two day stay
23,Hotel Gran Mahakam,Arni Pamungkas,5.0,small but elegant hotel often used for a wedding covid protocols is well applied in this hotel nice friendly staff but the parking lot is limited specially when there s a wedding,Positif,small elegant hotel often used wedding covid protocols well applied hotel nice friendly staff parking lot limited specially wedding
24,Hotel Gran Mahakam,Ambrosius Pin Pin Wijaya,5.0,their service is fast and friendly the variety of the food is very good for dinner a bit limited for breakfast taste is fantastic and the atmosphere is nice and cozy i love my experience here,Positif,service fast friendly variety food good dinner bit limited breakfast taste fantastic atmosphere nice cozy love experience
25,Hotel Gran Mahakam,Putri Nur Indah Pratiwi,5.0,vintage architecture style excellent service and good attitude rooms service location more,Positif,vintage architecture style excellent service good attitude rooms service location
26,Hotel Gran Mahakam,Bagas Danara,5.0,beautiful hotel good room great hospitality rooms service location more,Positif,beautiful hotel good room great hospitality rooms service location
27,Hotel Gran Mahakam,Rike Bewinda,5.0,was here for having lunch with my best friend yes another birthday treat it was good the staff giving a friendly welcome since we come earlier before the restaurant start to open lunch time they have a lot of variation of food yes its from east to west its a complete buffet i love their sushi their vegetables stir fry and their sweet cakes section they also serve local cuisine and dessert love it they also have a nice restaurant room pretty decoration and elegant,Positif,lunch best friend yes another birthday treat good staff giving friendly welcome since come earlier restaurant start open lunch time lot variation food yes east west complete buffet love sushi vegetables stir fry sweet cakes section also serve local cuisine dessert love also nice restaurant room pretty decoration elegant
28,Hotel Gran Mahakam,Jessica Krisanti,4.0,love the decoration inside the lobby and the ambience for cafe is amazing but the downside is the parking area not enough space,Positif,love decoration inside lobby ambience cafe amazing downside parking area enough space
29,Hotel Gran Mahakam,Erika Juanita,5.0,i love love love this hotel this is my first time on the new year staycation but i really love the interior and all circumstances will come back to stay at the hotel gran mahakam definitely,Positif,love love love hotel first time new year staycation really love interior circumstances come back stay hotel gran mahakam definitely
30,Veranda Hotel at Pakubuwono,Shabrina Indah Fitriani,5.0,perfect location easy to get around great ambience friendly service comfy and clean room veranda has a restaurant called wyls kitchen on the ground floor which is really beautiful for weddings or any events spacious parking area reasonable prices,Positif,perfect location easy get around great ambience friendly service comfy clean room veranda restaurant called wyls kitchen ground floor really beautiful weddings events spacious parking area reasonable prices
31,Veranda Hotel at Pakubuwono,Sonny SPH,4.0,beautiful hotel with touch of japanese style locates near to pakubuwono signature the lobby is quite big which could be considered as lounge since has many sofa chairs and tables with beautiful yet unique ornaments the front desk has two areas of table for receiving guests with each has its own chair i occupied two rooms for me and family and the room was nice the most i liked about the room was its bed nice one the restaurant was not big to my opinion but has beautiful theme color of white and space of restaurant could be expanded by using some space next to it of swimming pool area the menu of the breakfast was not so many but complete one the most i like about the restaurant is the taste of its food especially sambal and nasi goreng fried rice the nasi goreng and sambal really delicious and also not to forget its fried noodle the swimming pool was not so big with depth of m but it was good enough and surrounded by green tree and plant and nice flower the hotel has gym area on the second floor which although not so big but has enough equipments and treadmill completed with toilets with clean arrangement the parking lot was small either in the basement and outer area and there was no lift to the basement of parking lot so this could be an issue when going to drop and take the suitcase just make sure you drop off and load luggages on the lobby area still inside the hotel area next to its restaurant there was another public japanese restaurant named sumoji the hotel has small nice veranda on its front area with beautiful flowers and greenery one of my issues beside of the drop off luggages was neither the front office officer nor the restaurant officer seemed reluctantly accepted my payment they seemed would like to delay in accepting the payment overall it was nice hotel and worth staying at thank you to the all hotel staffs especially nadya of the restaurant and the security officers ps i did notice of the security officers in the main entrance they welcoming guest and issuing parking ticket to the management could you give them small chair to sit so they do not have to standing in hours sorry this is just my concern,Positif,beautiful hotel touch japanese style locates near pakubuwono signature lobby quite big could considered lounge since many sofa chairs tables beautiful yet unique ornaments front desk two areas table receiving guests chair occupied two rooms family room nice liked room bed nice one restaurant big opinion beautiful theme color white space restaurant could expanded using space next swimming pool area menu breakfast many complete one like restaurant taste food especially sambal nasi goreng fried rice nasi goreng sambal really delicious also forget fried noodle swimming pool big depth good enough surrounded green tree plant nice flower hotel gym area second floor although big enough equipments treadmill completed toilets clean arrangement parking lot small either basement outer area lift basement parking lot could issue going drop take suitcase make sure drop load luggages lobby area still inside hotel area next restaurant another public japanese restaurant named sumoji hotel small nice veranda front area beautiful flowers greenery one issues beside drop luggages neither front office officer restaurant officer seemed reluctantly accepted payment seemed would like delay accepting payment overall nice hotel worth staying thank hotel staffs especially nadya restaurant security officers ps notice security officers main entrance welcoming guest issuing parking ticket management could give small chair sit standing hours sorry concern
32,Veranda Hotel at Pakubuwono,Piter Halim,4.0,nice and enjoyable close to get anywhere especially to gandaria city mal which only around km only love the swimming pool its quite long and not crowded at all there was nobody at the pool perhaps because i always swim at the morning the room itself neat and clean the aircon is cold cons the internet so damn slow its a shame the hotel with this quality cant provide better connection hopefully in future they will upgrade the bandwith,Positif,nice enjoyable close get anywhere especially gandaria city mal around km love swimming pool quite long crowded nobody pool perhaps always swim morning room neat clean aircon cold cons internet damn slow shame hotel quality cant provide better connection hopefully future upgrade bandwith
33,Veranda Hotel at Pakubuwono,Eric Effin' P - MTB Content,4.0,close to senayan golf and also pim golf it s a good golf hotel for the enthusiastics hotel is well positioned just m away from gandaria city food is good and the surrounding quiet request for pool rooms else the road rooms can be very noisy rooms are good and all works well for those who want to have events there however be prepared for hectic jams because the carpark is relatively small,Positif,close senayan golf also pim golf good golf hotel enthusiastics hotel well positioned away gandaria city food good surrounding quiet request pool rooms else road rooms noisy rooms good works well want events however prepared hectic jams carpark relatively small
34,Veranda Hotel at Pakubuwono,Suhaili Abdul Rahman,4.0,hotel facility seems okay located not too far distant from city center food served also quite good was informed hotel rate also very reasonableservice location more,Positif,hotel facility seems okay located far distant city center food served also quite good informed hotel rate also reasonableservice location
35,Veranda Hotel at Pakubuwono,Rina,4.0,room size is enough for person clean breakfast is great varieties menu room service is over price room to room wall is not soundproof i could heard child voice and peoples talked from room besides if we stay during weekend we can not enjoy the restaurant and pool because there always a wedding ceremony,Positif,room size enough person clean breakfast great varieties menu room service price room room wall soundproof could heard child voice peoples talked room besides stay weekend enjoy restaurant pool always wedding ceremony
36,Veranda Hotel at Pakubuwono,Maria Arasati,5.0,raise the glass for the chef taste of the cuisine daebak for western plate i was there for meeting section but someday i ll stay for vacation service location more,Positif,raise glass chef taste cuisine daebak western plate meeting section someday stay vacation service location
37,Veranda Hotel at Pakubuwono,Dr. Maya Surjadjaja,3.0,i always remember veranda as a great hang out place to chat n dine at the pool side unfortunately the management seems not to care much now food is ok but the setrung was as it isservice location more,Negatif,always remember veranda great hang place chat n dine pool side unfortunately management seems care much food ok setrung isservice location
38,Veranda Hotel at Pakubuwono,Muhamad Fregian,1.0,the hotel employee entered the room before we checked out and because of smoking ash he was fined even though he didn t smoke at all in the roomrooms service location more,Negatif,hotel employee entered room checked smoking ash fined even though smoke roomrooms service location
39,Veranda Hotel at Pakubuwono,kisuk Son,4.0,i think it will be really difficult to find a hotel like this in jkt with same price room was clean and cozy with wooden furniture some star hotels in jkt do not provide aqua dannon as complimentary service but this hotel gives air conditioner waa also good fitness gym was small but still can work out with techno gym products i will recommend this hotel to my friend if my friend want a economical option but only the bathroom there was some moss it can be cleaned with more attention,Positif,think really difficult find hotel like jkt price room clean cozy wooden furniture star hotels jkt provide aqua dannon complimentary service hotel gives air conditioner waa also good fitness gym small still work techno gym products recommend hotel friend friend want economical option bathroom moss cleaned attention
40,Veranda Hotel at Pakubuwono,Bella Rachma,4.0,anothet good hotel to stay in jakarta room was comfy wifi was so sorooms service location more,Positif,anothet good hotel stay jakarta room comfy wifi sorooms service location
41,Veranda Hotel at Pakubuwono,Unnikrishnan Palloor,2.0,services were very poor not getting response from the reception most of the time two times i got plastic paper along with sausage reported to the food serving people other major issue is language few people only speak english airport pick up and air port drop also they promised while picking up from airport but at the time of check out they refused give airport drop service moreover they charged million for nights quarantine no invoice given i will never recommend this hotel to anybody,Negatif,services poor getting response reception time two times got plastic paper along sausage reported food serving people major issue language people speak english airport pick air port drop also promised picking airport time check refused give airport drop service moreover charged million nights quarantine invoice given never recommend hotel anybody
42,Veranda Hotel at Pakubuwono,Kelvin,2.0,im stay for night but ive got room not cleaned the table floor are very dusty the glasses cup and toilet are wet and not cleaned well when check in the reception staff are not very welcome its just bad experiencerooms service location more,Negatif,im stay night ive got room cleaned table floor dusty glasses cup toilet wet cleaned well check reception staff welcome bad experiencerooms service location
43,Veranda Hotel at Pakubuwono,Leticia K,2.0,nicely designed and cozy atmosphere but cleanliness and service can definitely be improved found out from the housekeeping guy that he is in charge of cleaning all rooms within floors alone no wonder the rooms are dusty and doubt the bathroom has been cleaned thoroughly prior to our checkin judging from the water stains another weird point is there is no concierge service how does it count as star hotel any kind of package day or night can t be received by reception or security or anyone in the hotel so all courier have to wait for guests in the lobby although there is a separate concierge desk right on that lobby why bother having so many security personnel in the lobby then maybe the hotel is cutting cost for concierge service but still bad experience for stars hotel we ve experienced better service from apartotel that costs of what veranda is charging such a disappointment and current management service needs to be improved else people also won t repeat stay here last but not least still about service it always took so long to deliver anything to your room often times there s nobody picking up the housekeeping or room service line and it always take mins to request for something even as simple as tissue paper or new towels,Negatif,nicely designed cozy atmosphere cleanliness service definitely improved found housekeeping guy charge cleaning rooms within floors alone wonder rooms dusty doubt bathroom cleaned thoroughly prior checkin judging water stains another weird point concierge service count star hotel kind package day night received reception security anyone hotel courier wait guests lobby although separate concierge desk right lobby bother many security personnel lobby maybe hotel cutting cost concierge service still bad experience stars hotel experienced better service apartotel costs veranda charging disappointment current management service needs improved else people also repeat stay last least still service always took long deliver anything room often times nobody picking housekeeping room service line always take mins request something even simple tissue paper new towels
44,Veranda Hotel at Pakubuwono,Lucky Snack Official,3.0,it seems like star hotel the facilities is so so breakfast was very simple and the taste was not good maybe need some improvement for star hotel standard in front of the neighbour room there is the dirty dishes that are not taken from the night before till the day after,Negatif,seems like star hotel facilities breakfast simple taste good maybe need improvement star hotel standard front neighbour room dirty dishes taken night till day
45,Veranda Hotel at Pakubuwono,IG: onaldtan,5.0,if you are about to find a quiet place to stay around gandaria pondok indah but didn t want to miss some attractions around senayan and blok m choose this place a cozy hotel with a good ambience and a fair cleanliness the check in process was less than mins no deposit money needed they are able to give you up to access key card to your room the lift was the touch less one and for going up you ll need to tap the room key card that automatically brings you to your room the room is spacious with wooden chair safety box large tv internet connection panoramic window and queen bed with pillows the amenities was ok nothing to complaint go down to the lobby you ll find wylz kitchen for breakfast and all day dining place a m deep swimming pool til pm using and fitness center every morning the housekeeper will come and ask if you got any laundry to do the only thing that comes to my concern was the pest control found some ants around my sink and the use of mask for the housekeeper they need to see it as a health protocol and hygiene a pleasant stay anyway,Positif,find quiet place stay around gandaria pondok indah want miss attractions around senayan blok choose place cozy hotel good ambience fair cleanliness check process less mins deposit money needed able give access key card room lift touch less one going need tap room key card automatically brings room room spacious wooden chair safety box large tv internet connection panoramic window queen bed pillows amenities ok nothing complaint go lobby find wylz kitchen breakfast day ning place deep swimming pool til pm using fitness center every morning housekeeper come ask got laundry thing comes concern pest control found ants around sink use mask housekeeper need see health protocol hygiene pleasant stay anyway
46,Veranda Hotel at Pakubuwono,muhammad iqbal,4.0,breakfast is not good enough here but the view is great,Positif,breakfast good enough view great
47,Veranda Hotel at Pakubuwono,Sutini Irsan,4.0,the hotel was packed as there s a wedding celebration also the promotion room rates at agoda after hour of waiting finally we got the room key the swimming pool restaurant and lobby area were clean and has a cozy design the deluxe room and it s amenities looks more like a standard room,Positif,hotel packed wedding celebration also promotion room rates agoda hour waiting finally got room key swimming pool restaurant lobby area clean cozy design deluxe room amenities looks like standard room
48,Veranda Hotel at Pakubuwono,Soraya Salsabila,3.0,i ve stayed at the veranda hotel times for the rooms are quite spacious and clean the bathroom is also clean the ac room is very cold i always take the breakfast one the breakfast is delicious but the menu variants are not much but what i really lack is the cleanliness of the swimming pool from above it looks fine tapi jika melihat ke dalam air it s a lot of dirt and garbage very disgusting there are tissues plastic daun debu times come here and swimming pool always dirty disappointing,Negatif,stayed veranda hotel times rooms quite spacious clean bathroom also clean ac room cold always take breakfast one breakfast delicious menu variants much really lack cleanliness swimming pool looks fine air lot dirt garbage disgusting tissues plastic daun debu times come swimming pool always dirty disappointing
49,Veranda Hotel at Pakubuwono,Adil Anselm,5.0,love to stay here recommended place to stay in south jakarta area staff are just excellent breakfast menu are awesome room is clean and tidy,Positif,love stay recommended place stay south jakarta area staff excellent breakfast menu awesome room clean tidy
50,Veranda Hotel at Pakubuwono,Caroline Sunarko,5.0,great for private party wedding etc visited sumoji and love the food ,Positif,great private party wedding etc visited sumoji love food
51,Veranda Hotel at Pakubuwono,ovi olivia,4.0,i was stayed for a night actually i love the place the paintings on the wall the pool and the food for the breakfast were great but for me starred hotel with bad wifi is a big question except wifi all good rooms service location more,Positif,stayed night actually love place paintings wall pool food breakfast great starred hotel bad wifi big question except wifi good rooms service location
52,Veranda Hotel at Pakubuwono,ardi gunawan,5.0,cozy place for dinner romantic happy good food and good peoples inside,Positif,cozy place dinner romantic happy good food good peoples inside
53,Veranda Hotel at Pakubuwono,widya arsa,5.0,just attending a wedding here nice cozy place,Positif,attending wedding nice cozy place
54,Veranda Hotel at Pakubuwono,Amir Hamzah,3.0,great accomodation for family stay or business occasions seems after lock down which hit hotel industry pretty bad also affecting veranda you will find the condition is poor the cleanliness drop due to fewer cleaning staff that they have now,Negatif,great accomodation family stay business occasions seems lock hit hotel industry pretty bad also affecting veranda find condition poor cleanliness drop due fewer cleaning staff
55,Veranda Hotel at Pakubuwono,Davin Manuel,3.0,it seems like star hotel the facilities and service wasnt good enough for star hotel the breakfast menu is so simple and the taste was so so there is the dirty dish that arent taken from the night till the day after,Negatif,seems like star hotel facilities service wasnt good enough star hotel breakfast menu simple taste dirty dish arent taken night till day
56,Veranda Hotel at Pakubuwono,Indra Prasetya,1.0,this is my second time book staying in veranda the first one working out just fine even though at the reception upon checkin seems unprofessional and empty i have to wait approx minutes until i got to check in idk if its the outdated checkin method or just the reception not up to its professionalism but it turn out fine the rooms cleanliness service etc are good fast forward to the second time this is where i got dissapointed upon booking through apps i decided to book veranda and it does not have the must test antigen policy upon checkin i check more than twice in the hotel room policy details when selecting rooms at the arrival again the reception and front office is empty they hang out at the back office which is located in side of reception table this again show unprofessionalism then i talk to the receptionist i was rejected because it has to present antigen test i am confused coz it does not say that in the booking apps then i showd the hotel rooms page at the apps is does not say that but she scrolling and scrolling like she wants to find that will justified the rejection it came to the point where she shows the hotel policy page which is hidden in the front page i believe it has to be an extra move cos how the heck do i or anybody else see that then again she ask me to do the test at the nearest clinic really this is an insult not to mention that i alr vaccinated times she could consider that and tell the manager about this issue which is not my fault id be happy to walk away if that happen,Negatif,second time book staying veranda first one working fine even though reception upon checkin seems unprofessional empty wait approx minutes got check idk outdated checkin method reception professionalism turn fine rooms cleanliness service etc good fast forward second time got dissapointed upon booking apps decided book veranda must test antigen policy upon checkin check twice hotel room policy details selecting rooms arrival reception front office empty hang back office located side reception table show unprofessionalism talk receptionist rejected present antigen test confused coz say booking apps showd hotel rooms page apps say scrolling scrolling like wants find justified rejection came point shows hotel policy page hidden front page believe extra move cos heck anybody else see ask test nearest clinic really insult mention alr vaccinated times could consider tell manager issue fault id happy walk away happen
57,Veranda Hotel at Pakubuwono,andi yani,5.0,lovely hotel in busy n big cityrooms service location more,Positif,lovely hotel busy n big cityrooms service location
58,Veranda Hotel at Pakubuwono,shafiq alhabshi,4.0,generally the overall experience at the hotel was good i like the nice quiet ambiance and boutique like feel of the hotel i find the rooms a little small but all the basic necessities are available i also like the location which is secluded yet very close to the city and the sites that i needed to go would definitely consider to return to this hotel for my future visits as i frequent jakarta pretty often,Positif,generally overall experience hotel good like nice quiet ambiance boutique like feel hotel find rooms little small basic necessities available also like location secluded yet close city sites needed go would definitely consider return hotel future visits frequent jakarta pretty often
59,Veranda Hotel at Pakubuwono,dean mardiansyah,4.0,i promised u this meal soo delicious fried rice yummies free parking ad spacysmall musholla rest room at ballroom more clean than mushola are you kidding,Positif,promised u meal soo delicious fried rice yummies free parking ad spacysmall musholla rest room ballroom clean mushola kidding
60,Sutasoma Hotel,Maria Elsa,5.0,i got the opportunity to stay at the sutasoma hotel on my vacation this year the location is very strategic in south jakarta breakfast was amazing with a variety of foods the hotel is very comfortable and feels like home the room is also clean and neat thanks to amanda who brought this memorable experience to me rooms service location more,Positif,got opportunity stay sutasoma hotel vacation year location strategic south jakarta breakfast amazing variety foods hotel comfortable feels like home room also clean neat thanks amanda brought memorable experience rooms service location
61,Sutasoma Hotel,Patrick Vespa,5.0,superb service from attentive staff we stayed at sutasoma for our day quarantine in february and we were very impressed clean delicious food top amenities great shower and more they really did an excellent job during our stay very happy customers,Positif,superb service attentive staff stayed sutasoma day quarantine february impressed clean delicious food top amenities great shower really excellent job stay happy customers
62,Sutasoma Hotel,Melling Prasetya,4.0,all the staffs were so friendly and helpful big buffet spreads for breakfast but nothing is really that tasty or good very nicely located and mrt station is just across the street the room also nice and clean during pandemic rooms service location more,Positif,staffs friendly helpful big buffet spreads breakfast nothing really tasty good nicely located mrt station across street room also nice clean pandemic rooms service location
63,Sutasoma Hotel,Najwa Mazli,5.0,great experience in a new hotel in jakarta selatan service was very very good they ensure everything is perfect my husband has mobility issues and we informed that he cant climb stairs the hotel set up a nice area for us to sit for breakfast at the cafe the cafe has a wheelchair lift too clean room good ac delicious breakfast nice size swimming pool minor critic would be the shower heads in our room tend to sprit water all over as the hotel is quite new and inside the tribrata area grab drivers usually takes time to find the hotel we received farewell card and goodies checking out,Positif,great experience new hotel jakarta selatan service good ensure everything perfect husband mobility issues informed cant climb stairs hotel set nice area us sit breakfast cafe cafe wheelchair lift clean room good ac delicious breakfast nice size swimming pool minor critic would shower heads room tend sprit water hotel quite new inside tribrata area grab drivers usually takes time find hotel received farewell card goodies checking
64,Sutasoma Hotel,Kris Trimoeljo,5.0,this hotel is new and still fresh the room is clean it has fluffy pillows i think as long as they can price it correctly this hotel could be my first option in south jakartarooms service location more,Positif,hotel new still fresh room clean fluffy pillows think long price correctly hotel could first option south jakartarooms service location
65,Sutasoma Hotel,Kemalasas,5.0,i love this place it s huge clean and fancy i love the interior of the hotel it has a lot of spots for taking pictures breakfast is great many options of foods and beverages and it s really really great that they served ice coffee too swimming pool is small but clean there s mrt blok a station around m from the hotel and also korean restaurant nearby great hospitality the staff is very nice i ll be back for sure,Positif,love place huge clean fancy love interior hotel lot spots taking pictures breakfast great many options foods beverages really really great served ice coffee swimming pool small clean mrt blok station around hotel also korean restaurant nearby great hospitality staff nice back sure
66,Sutasoma Hotel,Deissy Yudia,5.0,feeling amaze that could found such an elegant hotel not in the middle protocol area ambience so nice for having a corporate gathering will be perfect but for staycation and weekend getaway also would be nicerooms service location more,Positif,feeling amaze could found elegant hotel middle protocol area ambience nice corporate gathering perfect staycation weekend getaway also would nicerooms service location
